card_id,card_label,category_id,category_label,user_id
1,예약 송금,1,송금,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
2,송금,1,송금,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
3,송금 내역,1,송금,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
4,페이상품권 선물,1,송금,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
5,공지사항,2,고객지원,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
6,판매자 문의,2,고객지원,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
7,고객센터,2,고객지원,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
8,머니 통장,3,포인트·머니,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
9,포인트 내역,3,포인트·머니,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
10,머니 내역,3,포인트·머니,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
11,포인트 전환,3,포인트·머니,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
12,포인트 선물,3,포인트·머니,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
13,머니스토리,3,포인트·머니,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
14,Npay 머니카드,3,포인트·머니,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
15,기업 복지,4,사업자,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
16,사업자 대출,4,사업자,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
17,판매·정산내역,4,사업자,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
18,전월세대출비교,5,대출,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
19,신용대출비교,5,대출,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
20,주택담보대출비교,5,대출,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
21,신용점수,5,대출,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
22,MY 대출,5,대출,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
23,결제혜택,6,결제,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
24,패밀리결제,6,결제,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
25,Npay biz,6,결제,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
26,현장결제,6,결제,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
27,QR촬영 결제,6,결제,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
28,쿠폰,6,결제,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
29,머니 충전,6,결제,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
30,적금 통장 비교,7,예적금,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
31,파킹 통장 비교,7,예적금,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
32,예금 통장 비교,7,예적금,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
33,내 환급금 찾기,8,자산 관리,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
34,장기 미사용 계좌,8,자산 관리,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
35,내 자산 조회,8,자산 관리,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
36,수입·지출 관리,8,자산 관리,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
37,후불결제,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
38,오토·여행케어,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
39,Npay 제휴카드 내역,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
40,선물함,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
41,MY 계좌,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
42,연말정산 모의계산,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
43,브랜드 뽑기,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
44,미래에셋 네이버통장,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
45,Npay 제휴카드,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
46,바코드 충전,9,편의,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
47,우리집,10,부동산,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
48,전세반환보증,10,부동산,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
49,분양정보,10,부동산,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
50,대한항공 마일지리 적립,10,부동산,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
51,지도로 매물찾기,10,부동산,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
52,자동차 금융,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
53,보험 고민상담소,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
54,MY CAR,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
55,보험금 청구,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
56,MY 보험,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
57,펫보험비교,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
58,해외여행보험비교,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
59,자동차보험비교,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
60,저축보험비교,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
61,사업자 보험,11,보험,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
62,빠른정산,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
63,카드 한도조회,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
64,MY 카드,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
65,결제 내역,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
66,카드 이벤트,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
67,민생회복 소비쿠폰,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
68,카드 발급,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
69,멤버십카드 추가,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
70,정책지원금,12,카드,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
71,가상자산,13,증권,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
72,해외주식,13,증권,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
73,MY 연금·IRP,13,증권,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
74,내 종목,13,증권,8f12e3fe-7fc2-40c9-8703-c5ea21aa91d0
